Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Time,VEI
1992,9,17,,,Spurr,Alaska-SW,United States,61.3,-152.25,D1,4
1992,,,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37,D1,2
1993,1,21,,,Wurlali,Banda Sea,Indonesia,-7.125,128.675,D3,
1993,2,2,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,2
1993,3,12,,,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,D1,1
1993,4,19,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
1993,6,13,,,Krakatau,Indonesia,Indonesia,-6.102,105.423,D1,1
1993,6,23,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,D1,1
1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,D1,1
1993,10,4,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,D1,
1994,1,15,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,D1,3
1994,2,3,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1994,5,29,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,1
